year,mm,dd,hh,min,ss.s,L,latit,longit,depth,err(km),mag,tm,CAT,Io,Area,ST,Localities,(source) comments
2015,12,07,21,08,03.00,,-10.620,-55.280,  0.0,20, 3.2,1,"I",,,"MT","Terra Nova do Norte","(RSBR)"
2015,12,09,14,49,53.00,,-10.680,-43.860,  0.0,20, 3.8,1,"I",,,"BA","Mansidao","(RSBR)"
2015,12,13,17,46,19.00,,-8.080,-50.280,  0.0,30, 3.3,1,"I",,,"PA","Redenção","(RSBR)"
2015,12,14,07,19,55.00,,-26.040,-57.100,  0.0,10, 2.8,1,"I",,,"PY","Paraguay","(RSBR)"
2015,12,16,03,12,42.00,,-12.920,-49.150,  0.0,8, 3.1,1,"I",,,"TO","divisa GO-TO","(UnB; Carvalho etal.2020)"
2015,12,16,18,59,30.00,,-14.650,-50.920,  0.0,30, 2.7,1,"I",,,"MT","Cocalinho","(RSBR)"
2015,12,20,00,08,43.00,,-8.790,-71.210,  0.0,50, 4.2,0,"I",,,"AC","Western Brazil","(RSBR)"
2015,12,25,11,52,16.00,,-3.820,-39.830,  0.0,15, 3.5,1,"I",,,"CE","Iraucuba","(RSBR)"
2016,01,01,15,25,25.00,,-14.490,-43.160,  0.0,25, 2.8,1,"I",,,"BA","Palmas de Monte Alto","(RSBR-USP)"
2016,01,03,00,25,36.00,,-2.520,-45.090,  0.0,20, 2.9,1,"I",,,"MA","Pinheiro","(UnB)"
2016,01,06,20,38,42.00,,-3.780,-39.890,  0.0,15, 2.6,1,"I",,,"CE","Iraucuba","(RSBR-USP)"
2016,01,09,01,58,22.00,,-12.900,-44.700,  0.0,50, 2.5,1,"I",,,"BA","Correntina","(RSBR-USP)"
2016,01,10,14,03,09.00,,-15.130,-39.730,  0.0,2, 3.0,1,"I",,,"BA","Itaju do Colonia","(RSBR-USP)"
2016,01,15,14,43,32.00,,-12.090,-56.180,  0.0,10, 2.8,1,"I",,,"MT","Sorriso","(RSBR-USP)"
2016,01,17,00,06,40.00,,-22.910,-44.460,  0.0,6, 2.5,1,"I",,,"RJ","Angra dos Reis","(RSBR-USP)"
2016,01,18,01,29,05.00,,-6.080,-72.970, 10.0,30, 4.4,0,"I",,,"AC","Peru-Brazil Brdr Rg","(RSBR-USP)"
2016,01,18,18,29,12.00,,-14.300,-50.700,  0.0,35, 2.5,1,"I",,,"MT","Cocalinho","(UnB)"
2016,01,20,02,33,50.00,,+1.630,-60.910,  0.0,20, 2.8,1,"I",,,"RR","Caracaraí","(UnB)"
2016,01,20,16,40,05.00,,-8.550,-53.300,  0.0,20, 3.4,1,"I",,,"PA","Rio Peti","(RSBR-USP)"
2016,01,22,05,16,45.00,,-11.680,-56.700,  0.0,5, 2.7,5,"I",,,"MT","Novo HorizontedoNorte","(MLv_SC3-0.5)"
2016,01,30,07,40,26.00,,-13.870,-49.090,  0.0,5, 2.7,1,"I",,,"GO","Estrela do Norte","(RSBR-USP)"
2016,02,03,18,04,50.00,,-20.370,-44.040,  0.0,5, 2.5,1,"I",,,"MG","Moeda","(RSBR-USP)"
2016,02,13,09,02,50.00,,-10.410,-50.050,  0.0,50, 2.6,1,"I",,,"MT","Santa Terezinha","(RSBR-USP)"
2016,02,15,02,35,28.00,,-19.960,-41.530,  0.0,20, 2.6,1,"I",,,"MG","Mutum","(RSBR-USP)"
2016,02,23,18,35,26.00,,-8.330,-36.160,  0.0,3, 3.8,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,02,26,05,29,39.00,,-9.010,-58.620,  0.0,50, 3.0,1,"I",,,"MT","Colniza","(RSBR-USP)"
2016,03,01,18,01,58.00,,-20.300,-44.070,  0.0,5, 2.6,1,"I",,,"MG","Moeda","(RSBR-USP)"
2016,03,02,05,19,17.00,,-8.320,-36.170,  0.0,3, 3.5,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,03,02,06,59,14.00,,-11.540,-56.730,  0.0,70, 2.5,1,"I",,,"MT","Novo HorizontedoNorte","(RSBR-USP)"
2016,03,03,16,51,20.00,,-1.540,-59.000,  0.0,40, 3.9,1,"I",,,"AM","Presidente Figueiredo","(RSBR-USP)"
2016,03,04,10,47,23.00,,-19.430,-56.350,  0.0,20, 3.5,1,"I",,,"MS","Miranda","(RSBR-USP)"
2016,03,06,20,08,45.00,,-5.870,-38.880,  0.0,20, 2.6,1,"I",,,"CE","Solonopole","(RSBR-USP)"
2016,03,06,20,29,29.00,,-5.870,-38.860,  0.0,20, 2.8,1,"I","2",,"CE","Solonopole","(RSBR-USP)"
2016,03,07,15,35,04.00,,-20.460,-44.040,  0.0,6, 2.5,1,"I",,,"MG","Belo Vale","(RSBR-USP)"
2016,03,09,19,00,03.00,,-9.420,-35.820,  0.0,5, 2.6,1,"I",,,"AL","Messias","(RSBR-USP)"
2016,03,10,18,25,50.00,,-20.370,-44.030,  0.0,6, 2.5,1,"I",,,"MG","Belo Vale","(RSBR-USP)"
2016,03,14,09,48,16.00,,-5.900,-38.840,  0.0,20, 3.4,1,"I",,,"CE","Solonopole","(RSBR-USP)"
2016,03,24,08,05,26.00,,-19.370,-44.270,  0.0,15, 3.1,1,"I",,,"MG","Sete Lagoas","(RSBR-USP)"
2016,03,24,12,38,12.00,,-19.560,-44.090,  0.0,15, 2.6,1,"I",,,"MG","Matozinhos","(RSBR-USP)"
2016,03,24,13,54,36.00,,-19.470,-44.160,  0.0,15, 2.6,1,"I",,,"MG","Prudente de Morais","(RSBR-USP)"
2016,03,24,16,33,58.00,,-15.320,-43.880,  0.0,20, 2.6,1,"I",,,"MG","Jaíba","(UnB)"
2016,03,25,19,35,39.00,,-26.530,-57.840,  0.0,20, 2.5,5,"I",,,"PY","Ciervo Blanco Neembucu","(UNA INPRES CPUP) ML"
2016,03,26,15,50,22.00,,-21.370,-57.060,  0.0,15, 3.1,1,"I",,,"MS","Bonito","(RSBR-USP)"
2016,03,27,11,07,22.00,,-21.970,-50.380,  0.0,15, 3.1,1,"I",,,"SP","Herculandia","(RSBR-USP)"
2016,03,28,02,41,41.00,,-17.830,-51.060,  0.0,20, 2.5,1,"I",,,"GO","Rio Verde","(UnB)"
2016,04,01,14,29,17.00,,-15.210,-43.890,  0.0,20, 2.7,1,"I",,,"MG","Jaíba","(UnB)"
2016,04,08,00,05,07.00,,-11.650,-56.690,  0.0,15, 2.7,1,"I",,,"MT","Porto dos Gauchos","(RSBR-USP)"
2016,04,11,11,55,20.00,,-19.540,-44.080,  0.0,15, 3.3,1,"I","4",,"MG","Matozinhos","(RSBR-USP)"
2016,04,12,12,19,06.00,,-12.380,-63.100,  0.0,20, 2.6,1,"I",,,"RO","S.Francisco do Guaporé","(UnB)"
2016,04,13,15,15,07.00,,-9.920,-58.600,  0.0,20, 2.5,1,"I",,,"MT","Cotriguaçu","(UnB)"
2016,04,14,05,04,53.00,,-6.150,-73.310,  0.0,20, 3.9,1,"I",,,"AC","Peru-Brasil","(UnB)"
2016,04,22,08,46,20.00,,-15.860,-56.050,  0.0,20, 3.0,1,"I",,,"MT","S. Antônio do Leverger","(UnB)"
2016,04,23,07,59,41.00,,-9.630,-36.520,  0.0,15, 2.8,1,"I",,,"AL","Coite do Noia","(RSBR-USP)"
2016,04,27,15,12,53.00,,-14.840,-54.180,  0.0,15, 3.7,1,"I",,,"MT","Paranatinga","(UnB)"
2016,04,27,15,23,35.00,,-10.010,-49.200,  0.0,16, 2.7,1,"I",,,"TO","Chapada de Areia","(RSBR-USP)"
2016,04,28,07,26,09.00,,-14.680,-37.480,  0.0,35, 2.8,1,"I",,,"BA","Margem Continental","(RSBR-USP)"
2016,05,01,02,33,28.00,,-9.820,-50.250,  0.0,60, 3.8,1,"I",,,"PA","Santana do Araguaia","(RSBR-USP)"
2016,05,02,09,21,16.00,,-19.910,-44.250,  0.0,10, 3.5,1,"I",,2.500000,"MG","Betim Contagem","(RSBR-USP)"
2016,05,12,22,13,05.00,,-0.790,-60.230,  0.0,40, 4.2,1,"I",,,"AM","Presidente Figueiredo","(RSBR-USP)"
2016,05,20,23,27,22.00,,-24.750,-48.110,  0.0,2, 2.8,1,"I",,,"SP","Cajati","(RSBR-USP)"
2016,05,28,12,19,33.00,,-24.720,-46.190,  0.0,80, 2.6,1,"I",,,"SP","Guaruja","(RSBR-USP)"
2016,05,28,22,40,36.00,,-0.140,-60.600,  0.0,20, 2.6,1,"I",,,"RR","Rorainópolis","(UnB)"
2016,06,11,21,51,17.00,,-12.210,-47.330,  0.0,20, 2.6,1,"I",,,"TO","Conceição Do Tocantins","(UnB)"
2016,06,18,15,02,33.00,,-24.860,-39.300,  0.0,50, 3.7,1,"I",,,"SP","Margem Continental","(RSBR-USP)"
2016,06,25,17,01,48.00,,-18.950,-48.280,  0.0,20, 2.6,1,"I",,,"MG","Uberlândia","(UnB)"
2016,06,28,19,49,29.00,,-10.120,-36.980,  0.0,2, 2.5,1,"I",,,"SE","Canhoba","(RSBR-USP)"
2016,06,29,00,17,52.00,,-11.580,-56.860,  0.0,20, 2.7,1,"I",,,"MT","Porto Dos Gaúchos","(UnB)"
2016,07,05,21,57,36.00,,-0.700,-60.450,  0.0,40, 3.7,1,"I",,,"AM","Presidente Figueiredo","(RSBR-USP)"
2016,07,06,16,47,56.00,,-1.280,-61.080,  0.0,40, 2.6,1,"I",,,"AM","Presidente Figueiredo","(RSBR-USP)"
2016,07,07,22,09,36.00,,-21.910,-44.880,  0.0,20, 2.6,1,"I",,,"MG","Baependi","(RSBR-USP)"
2016,07,08,19,47,34.00,,-27.990,-52.080,  0.0,13, 2.5,1,"I",,,"RS","Tapejara","(RSBR-USP; IPT)"
2016,07,08,20,42,16.00,,-27.350,-50.360,  0.0,15, 2.5,1,"I",,,"SC","Ponte Alta","(RSBR-USP; IPT)"
2016,07,09,03,47,23.00,,-11.650,-56.670,  0.0,70, 3.1,1,"I",,,"MT","Novo HorizontedoNorte","(RSBR-USP)"
2016,07,09,04,15,30.00,,-12.420,-42.900,  0.0,11, 2.6,1,"I",,,"BA","Oliveira dos Brejinhos","(RSBR-USP)"
2016,07,09,05,59,59.00,,-12.280,-41.580,  0.0,6, 2.5,1,"I",,,"BA","Iraquara","(RSBR-USP)"
2016,07,09,20,13,53.00,,-12.100,-48.460,  0.0,12, 2.5,1,"I",,,"TO","Peixe","(RSBR-USP)"
2016,07,16,10,22,46.00,,-0.670,-60.420,  0.0,40, 3.0,1,"I",,,"AM","Presidente Figueiredo","(RSBR-USP)"
2016,07,16,10,24,57.00,,-0.690,-60.460,  0.0,40, 3.8,1,"I",,,"AM","Presidente Figueiredo","(RSBR-USP)"
2016,07,18,17,21,59.00,,-24.200,-46.430,  0.0,20, 2.5,1,"I",,,"SP","Praia Grande","(RSBR-USP)"
2016,07,19,15,30,46.00,,-20.120,-39.200, 20.0,23, 3.8,1,"I",,,"ES","Margem Continental","(RSBR-USP)"
2016,07,22,04,50,00.00,,+3.870,-60.910,  0.0,20, 3.3,1,"I",,,"RR","Amajari","(UnB)"
2016,07,31,12,54,47.00,,-11.570,-56.720,  0.0,20, 2.8,1,"I",,,"MT","Porto Dos Gaúchos","(UnB)"
2016,08,03,21,41,27.00,,-10.570,-51.540,  0.0,20, 2.6,1,"I",,,"MT","Confresa","(UnB)"
2016,08,05,07,01,25.00,,-11.550,-56.800,  0.0,70, 2.5,1,"I",,,"MT","Novo HorizontedoNorte","(RSBR-USP)"
2016,08,08,02,02,17.00,,-13.410,-49.140,  0.0,40, 2.8,1,"I",,,"GO","Porangatu","(RSBR-USP)"
2016,08,11,00,44,56.00,,-17.060,-40.120,  0.0,10, 2.8,1,"I",,,"BA","Itanhem","(RSBR-USP)"
2016,08,11,05,27,23.00,,-24.270,-47.420,  0.0,2, 2.8,1,"I",,,"SP","Miracatu","(MR-magSC3"
2016,08,13,02,26,41.00,,-18.640,-56.480,  0.0,15, 3.1,1,"I",,,"MS","Corumbá","(RSBR-USP) 160 km de RVDE"
2016,08,13,16,34,22.00,,-18.590,-56.400,  0.0,20, 2.8,1,"I",,,"MS","Corumba","(RSBR-USP)"
2016,08,21,16,56,32.00,,-0.970,-49.770,  0.0,20, 2.5,1,"I",,,"PA","Anajás","(UnB)"
2016,08,31,14,30,34.00,,-21.470,-41.670,  0.0,15, 2.5,1,"I",,,"RJ","Italva","(RSBR-USP)"
2016,09,04,06,38,05.00,,-20.260,-43.850,  0.0,20, 2.6,1,"I",,,"MG","Itabirito","(RSBR-USP)"
2016,09,07,21,31,37.00,,-4.420,-60.860,  0.0,20, 3.1,1,"I",,,"AM","Borba","(UnB)"
2016,09,08,08,48,27.00,,-11.560,-56.780,  0.0,70, 3.1,1,"I",,,"MT","Novo HorizontedoNorte","(RSBR-USP)"
2016,09,08,12,56,12.00,,-11.560,-56.810,  0.0,70, 2.8,1,"I",,,"MT","Novo HorizontedoNorte","(RSBR-USP)"
2016,09,13,06,29,03.00,,-10.090,-59.110,  0.0,45, 3.6,1,"I",,,"MT","Aripuana","(RSBR-USP)"
2016,09,16,22,04,25.00,,-9.890,-57.020,  0.0,20, 2.5,1,"I",,,"MT","Nova Monte Verde","(UnB)"
2016,09,18,14,26,09.00,,-16.540,-37.950,  0.0,20, 2.9,1,"I",,,"BA","-","(UnB)"
2016,09,23,17,36,59.00,,-0.540,-60.140,  0.0,20, 4.3,1,"I",,,"AM","Presidente Figueiredo","(UnB)"
2016,10,04,01,17,59.00,,-8.330,-50.280,  0.0,35, 3.0,1,"I",,,"PA","Redencao","(RSBR-USP)"
2016,10,07,19,59,55.00,,-13.710,-49.060,  0.0,36, 3.7,1,"I",,,"GO","Estrela do Norte","(RSBR-USP)"
2016,10,16,10,26,16.00,,-1.880,-59.460,  0.0,20, 2.7,1,"I",,,"AM","Presidente Figueiredo","(UnB)"
2016,10,24,20,51,54.00,,-6.400,-39.180,  0.0,20, 3.2,1,"I",,,"CE","Iguatu","(UnB)"
2016,10,29,03,47,29.00,,-8.180,-50.260,  0.0,20, 3.1,1,"I",,,"PA","Redenção","(UnB)"
2016,11,02,17,01,42.00,,-20.220,-43.560,  0.0,10, 2.5,1,"I",,,"MG","Ouro Preto","(RSBR-USP)"
2016,11,16,04,15,39.00,,-10.080,-37.190,  0.0,20, 3.1,1,"I",,,"SE","Itabi","(UnB)"
2016,11,19,03,05,31.00,,-11.690,-56.700,  0.0,70, 2.6,1,"I",,,"MT","Novo HorizontedoNorte","(RSBR-USP)"
2016,11,20,04,11,48.00,,-7.350,-58.830,  0.0,20, 2.6,1,"I",,,"AM","Apuí","(UnB)"
2016,11,25,02,29,04.00,,-34.690,-56.200, 12.0,5, 3.0,1,"I","4",,"UY","Uruguay","(UDELAR/USP)"
2016,11,27,22,03,51.00,,-1.460,-60.380,  0.0,20, 3.4,1,"I",,,"AM","Presidente Figueiredo","(UnB)"
2016,12,09,17,20,47.00,,-5.220,-73.450, 10.0,30, 5.0,0,"I",,,"AC","Peru-Brazil Brdr Rg","(RSBR-USP)"
2016,12,19,22,32,15.00,,-11.680,-56.800,  0.0,20, 2.7,1,"I",,,"MT","Porto Dos Gaúchos","(UnB)"
2016,12,20,22,03,21.00,,-5.400,-62.310,  0.0,50, 4.0,1,"I",,,"AM","Tapaua","(RSBR-USP)"
2016,12,25,13,59,34.00,,-6.353,-50.040,  0.0,30, 3.8,1,"I",,,"PA","Canaã dos Carajas","(RSBR-USP; Carvalho etal.2020) str-slip"
2017,01,03,12,43,46.50,,-3.142,-43.857, 12.0,2, 4.3,2,"I","5",165.000000,"MA","Cachoeira Grande","(Dias et al. GJInt. 2018)"
2017,01,03,12,50,49.00,,-3.140,-43.860, 12.0,2, 3.1,5,"I",,,"MA","Cachoeira Grande","(Dias et al. GJInt. 2018)"
2017,01,04,00,30,31.00,,-3.140,-43.860, 12.0,2, 2.5,5,"I",,,"MA","Cachoeira Grande","(Dias et al. GJInt. 2018)"
2017,01,04,09,21,05.00,,-3.140,-43.860, 12.0,2, 2.7,5,"I",,,"MA","Cachoeira Grande","(Dias et al. GJInt. 2018)"
2017,01,04,10,08,43.00,,-3.140,-43.860, 12.0,2, 2.5,5,"I",,,"MA","Cachoeira Grande","(Dias et al. GJInt. 2018)"
2017,01,05,18,10,21.00,,-15.690,-56.410,  0.0,12, 3.1,1,"I",,,"MT","N. Sra do Livramento","(RSBR-USP)"
2017,01,11,10,05,12.00,,-13.600,-48.820,  0.0,10, 3.8,1,"I",,,"GO","divisa GO-TO","(UnB; Carvalho etal.2020)"
2017,01,12,19,15,47.00,,-21.790,-46.540,  0.0,20, 3.2,1,"I",,,"MG","Poços de Caldas","(RSBR-USP)"
2017,01,28,00,36,39.00,,-13.290,-49.490,  0.0,10, 2.9,1,"I",,,"TO","divisa GO-TO","(UnB; Carvalho etal.2020)"
2017,02,03,04,35,41.00,,-20.620,-45.540,  0.0,20, 2.5,1,"I",,,"MG","Formiga","(RSBR-USP)"
2017,02,12,11,33,54.00,,-8.470,-53.230,  0.0,50, 2.9,1,"I",,,"PA","Rio Peti","(RSBR-USP)"
2017,02,12,20,21,09.00,,-8.550,-53.290,  0.0,50, 3.9,1,"I",,,"PA","Rio Peti","(RSBR-USP)"
2017,02,17,17,15,42.00,,-22.420,-40.100,  0.0,30, 3.5,1,"I",,,"RJ","Sao Joao da Barra","(RSBR-USP)"
2017,02,18,06,29,47.00,,-22.320,-40.190,  0.0,30, 3.5,1,"I",,,"RJ","Sao Joao da Barra","(RSBR-USP)"
2017,02,24,02,21,29.00,,-3.600,-62.710,  0.0,35, 3.1,1,"I",,,"AM","Codajas","(RSBR-USP)"
2017,02,27,07,05,39.00,,-26.930,-56.790, 10.0,10, 3.7,1,"I",,,"PY","Paraguay","(RSBR-USP)"
2017,03,01,22,46,33.00,,+0.610,-50.180,  0.0,35, 3.8,1,"I",,,"AP","Itaubal","(RSBR-USP)"
2017,03,03,18,15,01.00,,-8.600,-53.290,  0.0,50, 3.9,1,"I",,,"PA","Rio Peti","(RSBR-USP)"
2017,03,05,01,09,46.00,,-19.860,-47.450,  0.0,25, 2.9,1,"I",,,"MG","Sacramento","(RSBR-USP)"
2017,03,05,08,46,11.00,,-3.500,-40.230,  0.0,34, 2.6,1,"I",,,"CE","Santana do Acarau","(RSBR-USP)"
2017,03,07,17,41,09.00,,-28.410,-52.930,  0.0,20, 2.6,1,"I",,,"RS","Nao-Me-Toque","(RSBR-USP)"
2017,03,12,02,27,39.00,,-13.770,-49.060,  0.0,35, 2.8,1,"I",,,"GO","Estrela do Norte","(RSBR-USP)"
2017,03,12,05,55,37.00,,-8.500,-53.150,  0.0,50, 2.8,1,"I",,,"PA","Rio Peti","(RSBR-USP)"
2017,03,15,05,05,39.00,,-21.430,-41.830,  0.0,15, 2.9,1,"I",,,"RJ","Sao Jose de Uba","(RSBR-USP)"
2017,03,24,09,05,18.00,,-2.620,-49.780,  0.0,30, 3.1,1,"I",,,"PA","Baião","(RSBR-USP)"
2017,03,24,09,06,01.00,,-2.590,-49.530,  0.0,30, 3.5,1,"I",,,"PA","Baião","(RSBR-USP)"
2017,03,25,22,08,54.00,,-7.110,-55.480,  0.0,2, 2.8,1,"I",,,"PA","Novo Progresso","(RSBR-USP)"
2017,03,26,06,51,07.00,,-10.070,-37.110,  0.0,75, 2.7,1,"I",,,"SE","Itabi","(RSBR-USP)"
2017,03,27,07,01,41.00,,-19.490,-56.330,  0.0,17, 2.7,1,"I",,,"MS","Miranda","(RSBR-USP)"
2017,04,05,17,20,59.00,,-10.590,-45.110,  0.0,30, 3.0,1,"I",,,"PI","Parnagua","(RSBR-USP)"
2017,04,10,01,59,51.00,,-3.190,-40.090,  0.0,6, 3.1,1,"I",,,"CE","Morrinhos","(RSBR-USP)"
2017,04,14,16,01,02.00,,-16.000,-52.070,  0.0,6, 2.8,1,"I",,,"MT","Aragarcas","(RSBR-USP)"
2017,04,19,07,38,22.00,,-0.650,-60.300,  0.0,100, 3.3,1,"I",,,"AM","Presidente Figueiredo","(RSBR-USP)"
2017,04,27,14,18,54.00,,-11.480,-57.590,  0.0,15, 2.8,1,"I",,,"MT","Porto dos Gauchos","(RSBR-USP)"
2017,05,06,08,49,41.00,,-10.550,-51.870,  0.0,25, 2.5,1,"I",,,"MT","Confresa","(RSBR-USP)"
2017,05,06,23,14,57.00,,-10.960,-58.080,  0.0,25, 2.7,1,"I",,,"MT","Castanheira","(RSBR-USP)"
2017,05,08,05,14,11.00,,-20.580,-42.340,  0.0,25, 2.7,1,"I",,,"MG","Pedra Bonita","(RSBR-USP)"
2017,05,18,16,55,56.00,,-12.330,-48.100,  0.0,50, 2.8,1,"I",,,"TO","Paranã","(RSBR-USP)"
2017,05,22,21,02,24.00,,-15.600,-59.330,  0.0,5, 3.2,1,"I",,,"MT","Pontes e Lacerda","(RSBR-USP)"
2017,05,28,18,05,28.00,,-9.400,-72.580,  0.0,30, 3.2,1,"I",,,"AC","Peru-Brazil Brdr Rg","(SC3 mR=3.20"
2017,06,01,06,55,11.00,,+5.340,-52.780,  0.0,30, 3.8,0,"I",,,"GY","Guyana","(ISC; RSBR)"
2017,06,03,00,41,27.00,,+0.610,-55.140,  0.0,40, 2.9,1,"I",,,"PA","Oriximina","(RSBR-USP)"
2017,06,04,06,23,47.00,,+0.740,-55.020,  0.0,45, 3.2,1,"I",,,"PA","Curuá","(RSBR-USP)"
2017,06,06,16,06,29.00,,-27.280,-59.070,  0.0,20, 2.6,5,"I",,,"PY","Paraguay","(UNA-CPUP; USP)"
2017,06,12,01,23,43.00,,-17.880,-50.990,  0.0,40, 2.5,1,"I",,,"GO","Goiás","(UnB; Carvalho etal.2020)"
2017,06,13,21,31,34.00,,-10.420,-55.290,  0.0,10, 2.8,1,"I",,,"MT","Terra Nova do Norte","(RSBR-USP)"
2017,06,16,15,46,20.00,,-18.830,-44.710,  0.0,20, 2.7,1,"I",,,"MG","Felixlandia","(RSBR-USP)"
2017,06,17,17,42,49.00,,-13.400,-44.530,  0.0,20, 2.6,1,"I",,,"BA","Correntina","(RSBR-USP)"
2017,06,19,06,47,04.00,,-5.740,-50.470,  0.0,12, 2.7,1,"I",,,"PA","Parauapebas","(RSBR-USP)"
2017,06,19,09,08,40.00,,-10.070,-38.480,  0.0,80, 2.7,1,"I",,,"BA","Jeremoabo","(RSBR-USP)"
2017,06,19,18,10,57.00,,-13.400,-44.490,  0.0,20, 2.6,1,"I",,,"BA","Correntina","(RSBR-USP)"
2017,06,27,15,07,57.00,,-17.330,-48.290,  0.0,15, 2.6,1,"I",,,"GO","Pires do Rio","(RSBR-USP)"
2017,06,27,16,53,41.00,,-15.430,-56.060,  0.0,10, 2.6,1,"I",,,"MT","Cuiabá","(RSBR-USP)"
2017,07,05,15,58,00.00,,-9.220,-58.270,  0.0,48, 3.0,1,"I",,,"MT","Cotriguaçu","(RSBR-USP)"
2017,07,06,19,46,02.00,,+1.620,-54.410,  0.0,60, 3.2,1,"I",,,"PA","Parq.Nac.Tumucumaque","(RSBR-USP)"
2017,07,11,05,58,15.00,,-5.820,-50.610,  0.0,12, 2.6,1,"I",,,"PA","Parauapebas","(RSBR-USP)"
2017,07,16,17,15,45.00,,-1.320,-65.030,  0.0,90, 4.1,1,"I",,,"AM","Maraã","(RSBR-USP)"
2017,07,19,11,13,11.00,,-11.520,-57.540,  0.0,1, 2.6,1,"I",,,"MT","Porto dos Gauchos","(RSBR-USP)"
2017,07,19,22,46,01.00,,-8.590,-66.170,  0.0,20, 3.4,1,"I",,,"AM","Labrea","(RSBR-USP)"
2017,07,24,15,24,26.00,,+1.510,-55.510,  0.0,60, 3.6,1,"I",,,"PA","Oriximina","(RSBR-USP)"
2017,07,25,20,49,51.00,,-4.130,-38.240,  0.0,48, 3.3,1,"I",,,"CE","Cascavel","(RSBR-USP)"
2017,07,31,11,12,50.00,,-4.910,-71.240,  0.0,60, 2.9,1,"I",,,"AM","Atalaia do Norte","(RSBR-USP)"
2017,08,03,06,25,46.00,,-11.660,-56.680,  0.0,70, 2.7,1,"I",,,"MT","Novo HorizontedoNorte","(RSBR-USP)"
2017,08,13,21,44,24.00,,+1.540,-55.210,  0.0,60, 4.1,1,"I",,,"PA","Parq.NacionTumucumaque","(RSBR-USP)"
2017,08,13,23,05,03.00,,+1.780,-55.410,  0.0,60, 2.6,1,"I",,,"PA","Parq.NacionTumucumaque","(RSBR-USP)"
2017,08,17,20,16,04.00,,-19.170,-44.840,  0.0,0, 2.6,1,"I",,,"MG","Minas Gerais","(RSVL-USP) suspected quake"
2017,08,21,17,22,14.00,,-19.810,-44.210,  0.0,0, 2.5,1,"I",,,"MG","Minas Gerais","(RSVL-USP) suspected quake"
2017,08,22,03,06,09.00,,-6.850,-73.210,  0.0,30, 3.5,0,"I",,,"AM","Vale do Javari","(mb-SC3) SC3 mR=2.8"
2017,08,25,20,52,05.00,,-7.010,-49.910,  0.0,15, 2.8,1,"I",,,"PA","Xinguara","(RSBR-USP)"
2017,08,27,08,31,00.00,,-8.470,-72.690, 10.0,30, 3.5,0,"I",,,"AC","Peru-Brazil Brdr Rg","(mb-SC3) SC3 mR=2.6"
2017,08,31,06,41,00.00,,-6.410,-50.090,  0.0,5, 3.5,1,"I",,,"PA","Canaã dos Carajás","(RSBR-USP)"
2017,09,01,18,44,06.00,,-18.670,-40.670,  0.0,20, 2.5,1,"I",,,"ES","Vila Pavão explosion?","(RSBR-USP) quarry blast?"
2017,09,02,06,33,39.00,,-9.800,-72.150,  0.0,30, 3.3,0,"I",,,"AC","Peru-Brazil Brdr","(mb-SC3)"
2017,09,07,14,16,19.00,,+4.060,-60.330,  0.0,28, 3.2,1,"I",,,"RR","Normandia","(RSBR-USP)"
2017,09,07,16,23,20.00,,+3.990,-60.030,  0.0,28, 2.9,1,"I",,,"RR","Normandia","(RSBR-USP)"
2017,09,09,04,13,39.00,,-15.810,-51.790,  0.0,2, 3.4,1,"I",,,"MT","Araguaiana","(RSBR-USP)"
2017,09,11,08,16,42.00,,+3.700,-51.460,  0.0,45, 3.5,1,"I",,,"AP","Oiapoque","(RSBR-USP)"
2017,09,13,21,04,45.00,,-3.140,-43.860,  0.0,5, 2.7,1,"I",,,"MA","Cachoeira Grande","(RSBR-USP)"
2017,09,18,03,16,50.00,,-25.160,-49.370,  0.0,6, 3.5,1,"I",,,"PR","RioBrancoSul Itaperucu","(RSBR-USP)"
2017,09,20,07,09,20.00,,-8.340,-36.800,  0.0,45, 3.0,1,"I",,,"PE","Pesqueira","(RSBR-USP)"
2017,09,21,08,33,57.00,,-13.750,-49.140,  0.0,45, 3.3,1,"I",,,"GO","Estrela do Norte","(RSBR-USP)"
2017,09,26,04,51,01.00,,-5.930,-50.630,  0.0,12, 2.7,1,"I",,,"PA","Parauapebas","(RSBR-USP)"
2017,10,01,01,46,21.00,,-5.830,-50.560,  0.0,12, 3.3,1,"I",,,"PA","Parauapebas","(RSBR-USP)"
2017,10,04,16,46,57.00,,-5.767,-50.480,  0.0,10, 3.4,1,"I",,,"PA","Parauapebas","(Carvalho etal.2020 Mw 2.9) oblique-slip"
2017,10,04,18,50,40.00,,-5.790,-50.500,  0.0,12, 2.9,1,"I",,,"PA","Parauapebas","(RSBR-USP)"
2017,10,12,22,40,22.00,,-12.950,-48.880,  0.0,10, 3.4,1,"I",,,"TO","divisa GO-TO","(UnB; Carvalho etal.2020)"
2017,10,15,06,00,00.00,,-27.090,-58.260,  0.0,20, 2.9,1,"I",,,"PY","General Diaz Neembucu","(UNA IAG CPUP)"
2017,10,16,11,00,10.00,,-4.310,-38.390,  0.0,5, 3.0,1,"I",,,"CE","Cascavel","(RSBR-USP-UFRN)"
2017,10,17,14,35,29.00,,-5.840,-72.710,  0.0,30, 3.6,0,"I",,,"AM","Peru-Brazil Brdr Rg","(mb-magSC3) SC3 mR=3.4"
